target,model,tuned_pr_auc,tuned_f1_at_0.5
Keep_Physical,CatBoost,0.9989876822938031,0.9830508474576272
Keep_Physical,XGBoost,0.9976967276329656,0.975609756097561
Keep_Physical,LightGBM,0.9977372031963702,0.9631449631449631
Increase_Safety_Stock,CatBoost,0.9828842270327368,0.8985507246376812
Increase_Safety_Stock,XGBoost,0.9495905600672335,0.8611111111111112
Increase_Safety_Stock,LightGBM,0.9554760412747905,0.9090909090909091
Reduce_Stock,CatBoost,0.9621115699258576,0.8627450980392157
Reduce_Stock,XGBoost,0.9756823192239858,0.8727272727272727
Reduce_Stock,LightGBM,0.9878747795414462,0.9019607843137255
Digitize,CatBoost,0.9686020547581653,0.87248322147651
Digitize,XGBoost,0.9054795891567603,0.7777777777777778
Digitize,LightGBM,0.9399225570169834,0.8368794326241135
Reverse_Engineer,CatBoost,1.0,1.0
Reverse_Engineer,XGBoost,1.0,0.9852941176470589
Reverse_Engineer,LightGBM,1.0000000000000002,1.0
Repair,CatBoost,0.9836901370234703,0.8666666666666667
Repair,XGBoost,0.9843594676928009,0.8571428571428571
Repair,LightGBM,0.9828843995510661,0.9259259259259259
OEM_Purchase,CatBoost,1.0,0.9955156950672646
OEM_Purchase,XGBoost,0.9993749372127751,0.9568965517241379
OEM_Purchase,LightGBM,1.0,1.0
Local_Source,CatBoost,0.9928332341856081,0.9501661129568106
Local_Source,XGBoost,0.9830156897091796,0.9328859060402684
Local_Source,LightGBM,0.9895042672768182,0.9431438127090301
CNC_Candidate,CatBoost,1.0,1.0
CNC_Candidate,XGBoost,0.998435843712232,0.9917695473251029
CNC_Candidate,LightGBM,0.999848587503917,0.9938144329896907
AM_Candidate,CatBoost,0.9993954679261561,0.9852941176470589
AM_Candidate,XGBoost,0.9981209006190481,0.9637681159420289
AM_Candidate,LightGBM,0.9988237549815243,0.9850746268656716
Cast_Forge_Candidate,CatBoost,0.9994949494949494,0.967032967032967
Cast_Forge_Candidate,XGBoost,0.9655905377507633,0.9032258064516129
Cast_Forge_Candidate,LightGBM,0.99481658692185,0.9662921348314607
Engineering_Review,CatBoost,0.992051513676705,0.979381443298969
Engineering_Review,XGBoost,0.9741200296067836,0.9222797927461139
Engineering_Review,LightGBM,0.9904909801691972,0.9595959595959596
